d_vendor_name,mean_original_value,mean_overall_value,n
WOOLLY MAMMOTH OUTERWEAR,29899800.00,49588411.50,2
WORKDYNAMICS TECHNOLOGIES,105336.31,127516.20,136
WORKPLACE HEALTH AND COST SOLUTIONS,519977.88,970725.90,16
WORLD FUEL SERVICES,34830.20,34701.84,2762
WORLD UNIVERSITY CONSORTIUM,14836394.00,14836394.00,1
WORLD UNIVERSITY SERVICE OF CANADA,5422979.82,5480298.31,8
WORLDREACH SOFTWARE,861316.76,1207957.98,12
WORLEY PARSONS,469958.99,507755.35,17
WPP GROUP CANADA COMMUNICATIONS,367136.41,406183.67,77
WRIGHT CONSTRUCTION WESTERN,29382150.01,32438561.46,1
WSP,269208.43,597523.82,1056
WTB LANGUAGE GROUP,49133.79,52020.98,70
WYSSEN AVALANCHE CONTROL,825011.99,872931.06,8
XANALYS CANADA,1087020.64,1090598.97,6
XEROX,68983.22,81463.36,1687
XPERA RISK MITIGATION INVESTIGATION,3851686.86,4416034.85,2
XPERT SOLUTIONS TECHNOLOGIQUES,167077.13,475948.12,9
XPERTEK CONSTRUCTION,157831.94,163342.86,31
XTECH EXPLOSIVE DECONTAMINATION,1553333.33,3221498.26,3
XTRACT TECHNOLOGIES,343233.81,345103.89,16
YAMAHA MOTORS CANADA,38348.92,38351.57,261
YAMNUSKA,282251.89,564231.31,12
YELLOWHEAD HELICOPTERS,69234.25,69064.06,66
YOURTE CA,86395.59,89130.04,58
ZAYO CANADA,2598453.78,2047657.89,92
ZENITH PAVING,707270.46,730849.31,8
ZERNAM ENTERPRISE,135116.32,202790.14,52
ZODIAC HURRICANE TECHNOLOGIES,2689239.27,3078726.64,26
ZOLL MEDICAL CANADA,203758.24,263737.26,24
ZUTPHEN CONTRACTOR,1830848.62,1932122.03,23
ZYCOM,264659.85,265110.15,112
