category,d_description_en
10_office_management,Other furniture and fixtures including parts
10_office_management,"Miscellaneous food, food materials and food preparations, including beverages and tobacco"
10_office_management,"House furnishing, excl. Furniture"
10_office_management,Other office equipment
10_office_management,Sewer and water
10_office_management,"House furnishing, excluding furniture"
10_office_management,Public utility services - sewer and water
10_office_management,Public utility services - electricity
10_office_management,Public utility services - natural gas
10_office_management,Public utility services - waste disposal
10_office_management,"Rental of machinery, office furniture and fixtures, and other equipment"
10_office_management,"House furnishings, excl furniture"
10_office_management,"Meat, fish and their preparations"
10_office_management,"Miscellaneous food, food materials and food preparations"
10_office_management,Dairy products and other animal products
10_office_management,Photographic or cinematography goods
10_office_management,Other utility services
10_office_management,"Vegetables and fruits, edible products, fats and preparations"
10_office_management,Electricity
10_office_management,"Rental of office furniture (photocopiers, etc.) and fixtures, machinery and other equipment"
10_office_management,"Office furniture and furnishings, incl parts"
10_office_management,"Printed matter, incl. books, newspapers, pictures,"
10_office_management,Non professional personal service contracts
10_office_management,Office & stationers supplies
10_office_management,"Rental machinery, office furn/fixtures & other eq."
10_office_management,"Office furniture & furnishings, including parts"
10_office_management,"Other furniture and fixtures, including parts"
10_office_management,Printed matter/books/newspapers/pictures/manuscrip
10_office_management,"Miscellaneous food, food materials and food prepar"
10_office_management,Office furniture & furnishings
10_office_management,0533 rntl machnry furnit eqp - photocipier
10_office_management,Installation of shelving
10_office_management,1231 - office furniture & furnishings
10_office_management,1239 - other office equipment/parts
10_office_management,1172 - stationery and office supplies
10_office_management,Services d’imprimerie
10_office_management,Mobilier et ameublement du bureau incluant des pièces
10_office_management,"Location de machinerie, de mobilier et d'installation de bureau, et d'autres équipements"
10_office_management,Office furniture and furnishings
10_office_management,Other professional services
10_office_management,Other office equipment & parts
10_office_management,Office furniture and furnishings including parts
10_office_management,Beverages and tobacco
10_office_management,Printing and imaging services
10_office_management,"Printing services, postage and parcel post & space rental"
10_office_management,0819 - non-professional personal service contracts not elsewhere specified
10_office_management,0533 rntl machnry furnit eqp
10_office_management,1239 otr office equip & parts
10_office_management,Lockers
10_office_management,Various funiture items
10_office_management,Chairs for vancouver office
10_office_management,Chairs
10_office_management,Rental of audio-visual equipment - toronto hearing
10_office_management,Consulting services in strategic planning
10_office_management,Microfilm/microfiche scanner for the library
10_office_management,Rental - other (specify)
10_office_management,Services d'imprimerie
10_office_management,Non-professional personal service contracts
10_office_management,Other furniture and fixtures incl parts
10_office_management,"Materials and supplies, photographic or cinematography goods"
10_office_management,"Acquisition of office furniture and furnishings, including parts"
10_office_management,Rental- other
10_office_management,Temporary help services
10_office_management,Tuition fees and costs of attending courses including seminars not elsewhere specified
10_office_management,1239 otr office equip & parts - headsets
10_office_management,1231 office equip & parts - office furniture
10_office_management,Utility services
10_office_management,Purchase of teknion tables
10_office_management,Purchase of teknion table and worksurfaces
10_office_management,Purchase of furniture for training room
10_office_management,Purchase of office furniture - ncr
10_office_management,Purchase of chairs for winnipeg office
10_office_management,Purchase of chairs for vancouver office
10_office_management,Purchase of secure filing cabinets
10_office_management,"1231 office furniture and furnishings, incl. Parts"
10_office_management,"0533 rental of machinery, office furniture and fixtures and other equipment"
10_office_management,0570 - rental - others
10_office_management,0321 - printing services
10_office_management,Cutlery
10_office_management,0321 – printing services
10_office_management,"1143 – printed matter, including books, newspapers, pictures, manuscripts and forms"
10_office_management,"Materials and supplies, office and stationers supplies"
10_office_management,Other professional services not elsewhere specified
10_office_management,Rental of office machines and equipment
10_office_management,"Office furniture and furnishings, incl. Parts"
10_office_management,"Printed matter, incl books, newspapers, pictures, manuscripts & forms"
10_office_management,Work descriptions reviewed
